trip_id,route_short_name,route_id,shape_id,direction,trip_headsign,weekdays,first_bus_stop_id
bus_trip_bus_trip_0004019662023091120240611,3,bus_route_bus_route_615,D692_T1012_Ritorno_sub2,1,Martignano P.Zza Menghin,1111100,bus_stop_151
bus_trip_bus_trip_0004019672023091120240611,3,bus_route_bus_route_615,D692_T1012_Ritorno_sub2,1,Martignano P.Zza Menghin,1111110,bus_stop_151
bus_trip_bus_trip_0004019682023091120240611,3,bus_route_bus_route_615,D692_T1012_Ritorno_sub2,1,Martignano P.Zza Menghin,1111100,bus_stop_151
bus_trip_bus_trip_0004019692023091120240611,3,bus_route_bus_route_615,D692_T1012_Ritorno_sub2,1,Martignano P.Zza Menghin,1111110,bus_stop_151
bus_trip_bus_trip_0004019702023091120240611,3,bus_route_bus_route_615,D692_T1012_Ritorno_sub2,1,Martignano P.Zza Menghin,1111100,bus_stop_151
bus_trip_bus_trip_0004019712023091120240611,3,bus_route_bus_route_615,D692_T1012_Ritorno_sub2,1,Martignano P.Zza Menghin,1111100,bus_stop_151
bus_trip_bus_trip_0004019722023091120240611,3,bus_route_bus_route_615,D692_T1012_Ritorno_sub2,1,Martignano P.Zza Menghin,1111110,bus_stop_151
bus_trip_bus_trip_0004019732023091120240611,3,bus_route_bus_route_615,D692_T1012_Ritorno_sub2,1,Martignano P.Zza Menghin,1111100,bus_stop_151
bus_trip_bus_trip_0004019742023091120240611,3,bus_route_bus_route_615,D692_T1012_Ritorno_sub1,0,Montevaccino,0000010,bus_stop_106
bus_trip_bus_trip_0004019752023091120240611,3,bus_route_bus_route_615,D692_T1012_Ritorno_sub1,0,Montevaccino,0000010,bus_stop_106
bus_trip_bus_trip_0004019762023091120240611,3,bus_route_bus_route_615,D692_T1012_Ritorno_sub1,0,Montevaccino,0000010,bus_stop_106
bus_trip_bus_trip_0004019772023091120240611,3,bus_route_bus_route_615,D692_T1012_Ritorno_sub1,0,Montevaccino,0000010,bus_stop_106
