trip_id,route_short_name,route_id,shape_id,direction,trip_headsign,weekdays,first_bus_stop_id,delay_id
bus_trip_0004000572023091120240611,3,bus_route_396,D534_T0307_Andata_sub2,0,"Verona ""Palazzo Stella""",1111110,bus_stop_38,delay_1589
bus_trip_0004000582023091120240611,3,bus_route_396,D534_T0307_Andata_sub2,0,"Verona ""Palazzo Stella""",1111110,bus_stop_38,delay_1590
bus_trip_0004000592023091120240611,3,bus_route_396,D530_T0303_Andata_sub2,0,"Conci ""Villazzano 3""",1111110,bus_stop_38,delay_1591
bus_trip_0004000602023091120240611,3,bus_route_396,D530_T0303_Andata_sub2,0,"Conci ""Villazzano 3""",1111110,bus_stop_38,delay_1592
bus_trip_0004000612023091120240611,3,bus_route_396,D144_F0301a_Andata_sub2,0,"Conci ""Villazzano 3""",1111110,bus_stop_38,delay_1593
bus_trip_0004000622023091120240611,3,bus_route_396,D144_F0301a_Andata_sub2,0,"Conci ""Villazzano 3""",1111110,bus_stop_38,delay_1594
bus_trip_0004000632023091120240611,3,bus_route_396,D144_F0301a_Andata_sub2,0,"Conci ""Villazzano 3""",1111100,bus_stop_38,delay_1595
bus_trip_0004000642023091120240611,3,bus_route_396,D530_T0303_Andata_sub2,0,"Conci ""Villazzano 3""",1111100,bus_stop_38,delay_1596
bus_trip_0004000652023091120240611,3,bus_route_396,D144_F0301a_Andata_sub2,0,"Conci ""Villazzano 3""",1111100,bus_stop_38,delay_1597
bus_trip_0004000662023091120240611,3,bus_route_396,D144_F0301a_Andata_sub2,0,"Conci ""Villazzano 3""",1111100,bus_stop_38,delay_1598
bus_trip_0004000672023091120240611,3,bus_route_396,D144_F0301a_Andata_sub2,0,"Conci ""Villazzano 3""",1111100,bus_stop_38,delay_1599
bus_trip_0004000682023091120240611,3,bus_route_396,D144_F0301a_Andata_sub2,0,"Conci ""Villazzano 3""",1111100,bus_stop_38,delay_1600
bus_trip_0004000692023091120240611,3,bus_route_396,D144_F0301a_Andata_sub2,0,"Conci ""Villazzano 3""",1111100,bus_stop_38,delay_1601
bus_trip_0004000702023091120240611,3,bus_route_396,D144_F0301a_Andata_sub2,0,"Conci ""Villazzano 3""",1111110,bus_stop_38,delay_1602
bus_trip_0004000712023091120240611,3,bus_route_396,D144_F0301a_Andata_sub2,0,"Conci ""Villazzano 3""",1111100,bus_stop_38,delay_1603
bus_trip_0004000722023091120240611,3,bus_route_396,D144_F0301a_Andata_sub2,0,"Conci ""Villazzano 3""",1111100,bus_stop_38,delay_1604
bus_trip_0004000732023091120240611,3,bus_route_396,D144_F0301a_Andata_sub2,0,"Conci ""Villazzano 3""",10,bus_stop_38,delay_1605
bus_trip_0004000742023091120240611,3,bus_route_396,D144_F0301a_Andata_sub2,0,"Conci ""Villazzano 3""",1111100,bus_stop_38,delay_1606
bus_trip_0004000752023091120240611,3,bus_route_396,D144_F0301a_Andata_sub2,0,"Conci ""Villazzano 3""",10,bus_stop_38,delay_1607
bus_trip_0004000762023091120240611,3,bus_route_396,D144_F0301a_Andata_sub2,0,"Conci ""Villazzano 3""",1111100,bus_stop_38,delay_1608
bus_trip_0004000772023091120240611,3,bus_route_396,D144_F0301a_Andata_sub2,0,"Conci ""Villazzano 3""",1111100,bus_stop_38,delay_1609
bus_trip_0004000782023091120240611,3,bus_route_396,D530_T0303_Andata_sub2,0,"Conci ""Villazzano 3""",1111110,bus_stop_38,delay_1610
bus_trip_0004000792023091120240611,3,bus_route_396,D144_F0301a_Andata_sub2,0,"Conci ""Villazzano 3""",1111100,bus_stop_38,delay_1611
bus_trip_0004000802023091120240611,3,bus_route_396,D144_F0301a_Andata_sub2,0,"Conci ""Villazzano 3""",1111110,bus_stop_38,delay_1612
