id,name,product_category,store_name,points
594,CENTRO STORICO PIEDICASTELLO,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,MATSAR S.R.L.,POINT (11.116905 46.090371)
595,CENTRO STORICO PIEDICASTELLO,IPERMERCATI(OLTRE 2500 MQ.-SELF SERVICE),SORAM S.P.A.,POINT (11.116905 46.090371)
596,CENTRO STORICO PIEDICASTELLO,OTTICA-FOTOGRAFIA-CINEMATOGRAFIA-STRUMEN,A.G.A. S.R.L.,POINT (11.116905 46.090371)
597,CENTRO STORICO PIEDICASTELLO,PANE E LATTE,JURIKA S.R.L.S.,POINT (11.116905 46.090371)
598,CENTRO STORICO PIEDICASTELLO,ES.SPEC.IN ALTRI PROD.ALIM. E BEVANDE,ABC STUDIO S.R.L.,POINT (11.116905 46.090371)
599,CENTRO STORICO PIEDICASTELLO,ES.SPEC.IN ALTRI PROD.ALIM. E BEVANDE,ABC STUDIO S.R.L.,POINT (11.116905 46.090371)
600,CENTRO STORICO PIEDICASTELLO,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,LU ZHIYONG,POINT (11.116905 46.090371)
601,CENTRO STORICO PIEDICASTELLO,ELETTRONICA- DISCHI E NASTRI VIDEO,DOCTOR MOBILE SRL,POINT (11.116905 46.090371)
602,CENTRO STORICO PIEDICASTELLO,ELETTRONICA- DISCHI E NASTRI VIDEO,SAFARI S.R.L.,POINT (11.116905 46.090371)
603,CENTRO STORICO PIEDICASTELLO,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,ORIGINAL MARINES S.P.A.,POINT (11.116905 46.090371)
604,CENTRO STORICO PIEDICASTELLO,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,APLOMBE SRL,POINT (11.116905 46.090371)
605,CENTRO STORICO PIEDICASTELLO,PRODOTTI TESSILI,TRAPUNTIFICIO C.A.T. S.R.L.,POINT (11.116905 46.090371)
606,CENTRO STORICO PIEDICASTELLO,ES.SPEC.IN ALTRI PROD.ALIM. E BEVANDE,HILARY DI GOIO RENATO E BELLI GIULIANA S.N.C.,POINT (11.116905 46.090371)
607,CENTRO STORICO PIEDICASTELLO,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,NKD ITALIA S.R.L.,POINT (11.116905 46.090371)
608,CENTRO STORICO PIEDICASTELLO,GIORNALI-RIVISTE E PERIODICI,RUATTI DANIELE,POINT (11.116905 46.090371)
609,CENTRO STORICO PIEDICASTELLO,PRODOTTI TESSILI,OVS SPA,POINT (11.116905 46.090371)
610,CENTRO STORICO PIEDICASTELLO,ALTRI PRODOTTI NON CLASS.(MINERALI DA CO,SI.GI. S.A.S. DI BRIGNOLI ROBERTA & C.,POINT (11.116905 46.090371)
611,CENTRO STORICO PIEDICASTELLO,COSMETICI-ART.PROFUMERIA-BIGIOTTERIA,ZATEZALO RADOIKA,POINT (11.116905 46.090371)
612,CENTRO STORICO PIEDICASTELLO,ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.,DAMAR S.R.L. SEMPLIFICATA,POINT (11.116905 46.090371)
