route_id,distance,trip_id,name
562,8.464861962162718,0003949612023091120240611,A
562,8.464861962162718,0003949642023091120240611,A
562,8.464861962162718,0003949652023091120240611,A
562,8.464861962162718,0003949662023091120240611,A
562,8.464861962162718,0003949672023091120240611,A
562,8.464861962162718,0003949682023091120240611,A
562,8.464861962162718,0003949692023091120240611,A
562,8.464861962162718,0003949702023091120240611,A
562,8.464861962162718,0003949712023091120240611,A
562,8.464861962162718,0003949722023091120240611,A
562,8.464861962162718,0003949732023091120240611,A
563,7.587147182869382,0003949742023091120240611,B
563,13.245915176339889,0003949752023091120240611,B
563,13.245915176339889,0003949772023091120240611,B
563,13.245915176339889,0003949802023091120240611,B
563,13.245915176339889,0003949812023091120240611,B
563,13.245915176339889,0003949822023091120240611,B
563,13.245915176339889,0003949832023091120240611,B
563,13.245915176339889,0003949842023091120240611,B
563,13.245915176339889,0003949852023091120240611,B
563,13.245915176339889,0003949862023091120240611,B
563,13.245915176339889,0003949872023091120240611,B
563,13.245915176339889,0003949882023091120240611,B
563,13.245915176339889,0003949892023091120240611,B
563,6.23809321697285,0003949902023091120240611,B
563,13.245915176339889,0003949942023091120240611,B
563,13.245915176339889,0003949952023091120240611,B
563,13.245915176339889,0003949962023091120240611,B
563,13.245915176339889,0003949972023091120240611,B
563,13.245915176339889,0003949982023091120240611,B
563,13.245915176339889,0003949992023091120240611,B
563,13.245915176339889,0003950002023091120240611,B
563,13.245915176339889,0003950012023091120240611,B
563,13.245915176339889,0003950022023091120240611,B
563,13.245915176339889,0003950032023091120240611,B
563,6.23809321697285,0003950042023091120240611,B
578,17.64301461632679,0003950072023091120240611,1
578,13.440442226389035,0003950092023091120240611,1
578,15.661145367262229,0003950102023091120240611,1
578,13.440442226389035,0003950112023091120240611,1
578,13.440442226389035,0003950122023091120240611,1
578,13.911410006817134,0003950132023091120240611,1
578,13.440442226389035,0003950142023091120240611,1
578,13.440442226389035,0003950152023091120240611,1
578,16.38685324494822,0003950162023091120240611,1
578,13.440442226389035,0003950172023091120240611,1
578,13.440442226389035,0003950182023091120240611,1
578,12.021101904664347,0003950192023091120240611,1
578,13.177367844150986,0003950202023091120240611,1
578,8.904922889977323,0003950212023091120240611,1
578,13.177367844150986,0003950222023091120240611,1
578,15.983353604465277,0003950232023091120240611,1
578,13.177367844150986,0003950242023091120240611,1
578,13.459471183748706,0003950252023091120240611,1
578,13.177367844150986,0003950262023091120240611,1
578,16.8041843660123,0003950272023091120240611,1
578,13.459471183748706,0003950282023091120240611,1
578,15.983353604465277,0003950292023091120240611,1
578,8.904922889977323,0003950302023091120240611,1
578,7.510282551949585,0003950322023091120240611,1
578,15.661145367262229,0003950332023091120240611,1
578,15.661145367262229,0003950342023091120240611,1
578,15.661145367262229,0003950352023091120240611,1
578,15.661145367262229,0003950362023091120240611,1
578,15.661145367262229,0003950372023091120240611,1
578,8.904922889977323,0003950382023091120240611,1
578,8.904922889977323,0003950392023091120240611,1
578,8.904922889977323,0003950402023091120240611,1
578,8.904922889977323,0003950412023091120240611,1
578,8.904922889977323,0003950422023091120240611,1
578,13.177367844150986,0003950432023091120240611,1
578,15.661145367262229,0003950442023091120240611,1
578,6.507859967573643,0003950462023091120240611,1
578,12.021101904664347,0003950512023091120240611,1
578,13.440442226389035,0003950522023091120240611,1
578,12.021101904664347,0003950532023091120240611,1
578,13.440442226389035,0003950542023091120240611,1
