WKT;tipo;settore;descr;strada;desvia;civico_alf;merceologia;sup_vend;nome;codice;fumetto
"POINT (664061.695741682 5103406.3926209)";PANE E LATTE;ALIMENTARE;;"3340";VIA DEL TRAVAI;"36";PANE E LATTE;56;GIULIANO SOSI S.R.L.;"17361";"PANE E LATTE - VIA DEL TRAVAI, 36"
"POINT (663911.829185251 5102795.25584962)";GIORNALI-RIVISTE E PERIODICI;NON ALIMENTARE;;"1350";VIA G. GIUSTI;"41";GIORNALI-RIVISTE E PERIODICI;22;DEMATTE' SEBASTIANO;"38242";"GIORNALI-RIVISTE E PERIODICI - VIA G. GIUSTI, 41"
"POINT (664159.460760558 5103430.81042583)";ART.CASALINGHI-CRISTALLERIE-VASELLAME;ALIMENTARE E NON ALIMENTARE;;"3340";VIA DEL TRAVAI;"118";ART.CASALINGHI-CRISTALLERIE-VASELLAME;50;ALAM KHURSHID;"45313";"ART.CASALINGHI-CRISTALLERIE-VASELLAME - VIA DEL TRAVAI, 118"
"POINT (664159.460760558 5103430.81042583)";COMMERCIO AL DETTAGLIO DEI MINIMERCATI;ALIMENTARE E NON ALIMENTARE;;"3340";VIA DEL TRAVAI;"118";COMMERCIO AL DETTAGLIO DEI MINIMERCATI;50;ALAM KHURSHID;"45313";"COMMERCIO AL DETTAGLIO DEI MINIMERCATI - VIA DEL TRAVAI, 118"
"POINT (664215.007127696 5103549.84403853)";COSMETICI-ART.PROFUMERIA-BIGIOTTERIA;NON ALIMENTARE;;"370";I ANDRONA BORGONUOVO;"8";COSMETICI-ART.PROFUMERIA-BIGIOTTERIA;22;BRUNO MARA;"12020";"COSMETICI-ART.PROFUMERIA-BIGIOTTERIA - I ANDRONA BORGONUOVO, 8"
"POINT (664250.345300656 5104114.98884235)";COSMETICI-ART.PROFUMERIA-BIGIOTTERIA;NON ALIMENTARE;;"3520";VICOLO DEL VO';"16";COSMETICI-ART.PROFUMERIA-BIGIOTTERIA;65;SALONE GIANNI DI LIUZZO LUCA & C. S.A.S.;"24896";"COSMETICI-ART.PROFUMERIA-BIGIOTTERIA - VICOLO DEL VO', 16"
"POINT (663641.453356621 5104846.89723788)";COSMETICI-ART.PROFUMERIA-BIGIOTTERIA;NON ALIMENTARE;;"1170";VIA FELICE E G. FONTANA;1/1;COSMETICI-ART.PROFUMERIA-BIGIOTTERIA;50;TEN'S DI LAM MINH TOAN & C. S.A.S.;"13061";"COSMETICI-ART.PROFUMERIA-BIGIOTTERIA - VIA FELICE E G. FONTANA, 1/1"
"POINT (664397.613353787 5104134.18865012)";VARIE;ALIMENTARE E NON ALIMENTARE;ARTICOLI ALIMENTARI E NON ALIMENTARI TIPICI DELLA ROMANIA;"1990";PIAZZA DELLA MOSTRA;"9";VARIE;24;BARBU ALICE MIHAELA;"35961";"VARIE - PIAZZA DELLA MOSTRA, 9"
"POINT (664076.714233018 5104036.58688463)";ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.;NON ALIMENTARE;;"90";VIA V. ALFIERI;"9";ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.;140;PERIN DEVIS;"29187";"ART. DI ABBIGLIAMENTO-BIANCHERIA PERS. - VIA V. ALFIERI, 9"
"POINT (664418.881161331 5103683.31959641)";GIORNALI-RIVISTE E PERIODICI;NON ALIMENTARE;RIVENDITA DI GIORNALI E RIVISTE;"2750";VIA S. FRANCESCO D'ASSISI;8/1;GIORNALI-RIVISTE E PERIODICI;20;VIANINI SILVIA;"43221";"GIORNALI-RIVISTE E PERIODICI - VIA S. FRANCESCO D'ASSISI, 8/1"
"POINT (663843.280970406 5103859.95195076)";ART.REGALO-ARTIGIANATO LOCALE;NON ALIMENTARE;TELEFONIA E RELATIVI ACCESSORI;"2990";PIAZZA S. MARIA MAGGIORE;"40";ART.REGALO-ARTIGIANATO LOCALE;40;SARWAR USMAN;"35439";"ART.REGALO-ARTIGIANATO LOCALE - PIAZZA S. MARIA MAGGIORE, 40"
"POINT (664306.518228283 5104046.33992546)";ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.;NON ALIMENTARE;;"3210";VIA DEL SUFFRAGIO;"93";ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.;72;8 MARZO S.R.L.;"25090";"ART. DI ABBIGLIAMENTO-BIANCHERIA PERS. - VIA DEL SUFFRAGIO, 93"
"POINT (664271.123229607 5104166.71446357)";OGGETTI D'ARTE-DI CULTO E DI DECORAZIONE;ALIMENTARE E NON ALIMENTARE;"ALIMENTARI VARI, FRUTTA E VERDURA, PANE, BEVANDE, ECC.";"3310";VIA TORRE VERDE;"52";OGGETTI D'ARTE-DI CULTO E DI DECORAZIONE;171;ANTICHITA' GASPERETTI BRUNO DI GASPERETTI ARMANDO E C. S.N.C;"21724";"OGGETTI D'ARTE-DI CULTO E DI DECORAZIONE - VIA TORRE VERDE, 52"
"POINT (664664.900628842 5102958.66163479)";GIOCHI E GIOCATTOLI;NON ALIMENTARE;;"2680";VIALE ROVERETO;"35";GIOCHI E GIOCATTOLI;106;ALPINA GAMES II° S.A.S. DI ALBERINI GIACINTO E C.;"19149";"GIOCHI E GIOCATTOLI - VIALE ROVERETO, 35"
"POINT (664329.556989936 5104042.99839547)";ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.;NON ALIMENTARE;;"2800";VIA SAN MARCO;"7";ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.;41;HAUSER LORENA;"25686";"ART. DI ABBIGLIAMENTO-BIANCHERIA PERS. - VIA SAN MARCO, 7"
"POINT (664013.295782162 5103769.08752511)";PASTICCERIA-DOLCIUMI-CONFETTERIA-GELAT.;ALIMENTARE;;"680";VIA CAMILLO BENSO CAVOUR;"42";PASTICCERIA-DOLCIUMI-CONFETTERIA-GELAT.;72;BONAZZA FRANCESCA;"31639";"PASTICCERIA-DOLCIUMI-CONFETTERIA-GELAT. - VIA CAMILLO BENSO CAVOUR, 42"
"POINT (664286.676501869 5103079.73924471)";CAFFE' TORREFATTO;ALIMENTARE;"CAFFÈ, BEVANDE E DOLCIUMI";"3350";CORSO 3 NOVEMBRE;"64";CAFFE' TORREFATTO;95;MICHELOTTI VALERIO E C. SAS;"12469";"CAFFE' TORREFATTO - CORSO 3 NOVEMBRE, 64"
"POINT (664936.827126762 5102710.0227744)";PANE E LATTE;ALIMENTARE;;"330";VIA BOLGHERA;"61";PANE E LATTE;30;GIULIANO SOSI S.R.L.;"12035";"PANE E LATTE - VIA BOLGHERA, 61"
"POINT (664240.124612149 5103269.47869643)";PANE E LATTE;ALIMENTARE;PRODOTTI ALIMENTARI E BEVANDE;"2950";VIA SANTA CROCE;"80";PANE E LATTE;22;PANIFICIO DALPRA' RICCARDO DI F.LLI DALPRA' S.N.C.;"32606";"PANE E LATTE - VIA SANTA CROCE, 80"
"POINT (664122.294618781 5103426.06026223)";ELETTRONICA- DISCHI E NASTRI VIDEO;NON ALIMENTARE;"TELEFONIA, COMPUTER, SCHEDE TELEFONICHE";"3340";VIA DEL TRAVAI;"68";ELETTRONICA- DISCHI E NASTRI VIDEO;25;AHMED NISAR;"31517";"ELETTRONICA- DISCHI E NASTRI VIDEO - VIA DEL TRAVAI, 68"
"POINT (664439.374432816 5103865.39159855)";COSMETICI-ART.PROFUMERIA-BIGIOTTERIA;NON ALIMENTARE;;"2980";VICOLO S. MARIA MADDALENA;"3";COSMETICI-ART.PROFUMERIA-BIGIOTTERIA;54;GOTTARDI ELISABETH;"12203";"COSMETICI-ART.PROFUMERIA-BIGIOTTERIA - VICOLO S. MARIA MADDALENA, 3"
"POINT (664187.359747531 5103563.96650598)";VARIE;NON ALIMENTARE;PRODOTTI PER LA TELEFONIA;"1840";VIA G. MAZZINI;"25";VARIE;32;TLC TRADE S.R.L.;"44558";"VARIE - VIA G. MAZZINI, 25"
"POINT (664235.761952388 5103291.81115937)";ALTRI ES.NON SPEC.GRANDE VARIETA' NO AL.;ALIMENTARE E NON ALIMENTARE;;"2950";VIA SANTA CROCE;"70";ALTRI ES.NON SPEC.GRANDE VARIETA' NO AL.;42;KAILASH DI MARCANTONI ANDREA & C. S.N.C.;"12069";"ALTRI ES.NON SPEC.GRANDE VARIETA' NO AL. - VIA SANTA CROCE, 70"
"POINT (664235.761952388 5103291.81115937)";ES.SPEC.IN ALTRI PROD.ALIM. E BEVANDE;ALIMENTARE E NON ALIMENTARE;;"2950";VIA SANTA CROCE;"70";ES.SPEC.IN ALTRI PROD.ALIM. E BEVANDE;42;KAILASH DI MARCANTONI ANDREA & C. S.N.C.;"12069";"ES.SPEC.IN ALTRI PROD.ALIM. E BEVANDE - VIA SANTA CROCE, 70"
"POINT (663372.29436474 5104057.4343551)";;ALIMENTARE;;"430";VIA BRESCIA;"17";;0;SPERA FOOD SRLS;"40751";
"POINT (663985.938733166 5104746.8631051)";OROLOGI-ART.GIOIELLERIA-ARGENTERIA;NON ALIMENTARE;;"1170";VIA FELICE E G. FONTANA;"55";OROLOGI-ART.GIOIELLERIA-ARGENTERIA;47;NUOVA OREFICERIA POCHER SNC DI POCHER LAURA & C.;"28864";"OROLOGI-ART.GIOIELLERIA-ARGENTERIA - VIA FELICE E G. FONTANA, 55"
"POINT (664257.477919955 5103920.67720992)";ART.SPORTIVI-BICICLETTE-ARMI-MUNIZIONI-A;NON ALIMENTARE;;"230";PIAZZA C. BATTISTI;"26";ART.SPORTIVI-BICICLETTE-ARMI-MUNIZIONI-A;250;DOLOMITEN SPORTSWEAR S.R.L.;"45809";"ART.SPORTIVI-BICICLETTE-ARMI-MUNIZIONI-A - PIAZZA C. BATTISTI, 26"
"POINT (664123.528525091 5103755.47162877)";ART.PER RIVENDITE DI GENERI DI MONOPOLIO;;;"1230";VIA G. GARIBALDI;"5";ART.PER RIVENDITE DI GENERI DI MONOPOLIO;13;COMPER PAOLO;"14384";"ART.PER RIVENDITE DI GENERI DI MONOPOLIO - VIA G. GARIBALDI, 5"
"POINT (664123.528525091 5103755.47162877)";GIORNALI-RIVISTE E PERIODICI;;;"1230";VIA G. GARIBALDI;"5";GIORNALI-RIVISTE E PERIODICI;13;COMPER PAOLO;"9122";"GIORNALI-RIVISTE E PERIODICI - VIA G. GARIBALDI, 5"
"POINT (664680.325962405 5103665.51759566)";ART.REGALO-ARTIGIANATO LOCALE;NON ALIMENTARE;;"1400";VIA DON GIUSEPPE GRAZIOLI;"36";ART.REGALO-ARTIGIANATO LOCALE;17;RUSPANTINI PATRIZIA;"12845";"ART.REGALO-ARTIGIANATO LOCALE - VIA DON GIUSEPPE GRAZIOLI, 36"
"POINT (663563.474678127 5103641.0824542)";MOBILI;NON ALIMENTARE;"MATERASSI, LETTI, COMPLEMENTI D'ARREDO";"3690";PIAZZA E. MOSNA;"12";MOBILI;88;D.B.  S.R.L.;"41142";"MOBILI - PIAZZA E. MOSNA, 12"
"POINT (664086.343490646 5103406.06578943)";ALTRI PRODOTTI NON CLASS.(MINERALI DA CO;NON ALIMENTARE;MANGIMI E PRODOTTI PER ANIMALI;"3420";VIA 24 MAGGIO;"20";ALTRI PRODOTTI NON CLASS.(MINERALI DA CO;130;2G SNC DI GIORGIA DIOGUARDI E GIOVANNI PAGANA;"41100";"ALTRI PRODOTTI NON CLASS.(MINERALI DA CO - VIA 24 MAGGIO, 20"
"POINT (664977.015260631 5102656.13328711)";COMMERCIO AL DETTAGLIO DEI MINIMERCATI;ALIMENTARE E NON ALIMENTARE;;"1850";LARGO MEDAGLIE D'ORO;"9";COMMERCIO AL DETTAGLIO DEI MINIMERCATI;6;SERENISSIMA RISTORAZIONE S.P.A.;"46279";"COMMERCIO AL DETTAGLIO DEI MINIMERCATI - LARGO MEDAGLIE D'ORO, 9"
"POINT (664977.015260631 5102656.13328711)";GIORNALI-RIVISTE E PERIODICI;;;"1850";LARGO MEDAGLIE D'ORO;"9";GIORNALI-RIVISTE E PERIODICI;0;SERENISSIMA RISTORAZIONE S.P.A.;"46280";"GIORNALI-RIVISTE E PERIODICI - LARGO MEDAGLIE D'ORO, 9"
"POINT (664146.652367321 5103868.96767081)";ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.;NON ALIMENTARE;;"2180";VIA P. OSS MAZZURANA;"42";ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.;168;PRETTO ALDO & C. S.N.C.;"21634";"ART. DI ABBIGLIAMENTO-BIANCHERIA PERS. - VIA P. OSS MAZZURANA, 42"
"POINT (663890.338333296 5103834.9641667)";ELETTRONICA- DISCHI E NASTRI VIDEO;NON ALIMENTARE;;"2990";PIAZZA S. MARIA MAGGIORE;"27";ELETTRONICA- DISCHI E NASTRI VIDEO;28;SULTAN TIPU;"28542";"ELETTRONICA- DISCHI E NASTRI VIDEO - PIAZZA S. MARIA MAGGIORE, 27"
"POINT (664347.089510678 5103970.73856433)";ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.;ALIMENTARE E NON ALIMENTARE;"ARTICOLI SPORTIVI,INTEGRATORI ALIMENTARI";"1565";PIAZZETTA BRUNO LUNELLI;"7";ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.;90;ANTONELLI MICHELE;"24426";"ART. DI ABBIGLIAMENTO-BIANCHERIA PERS. - PIAZZETTA BRUNO LUNELLI, 7"
"POINT (663916.300135528 5103994.65133203)";ROSTICCERIA;ALIMENTARE;"KEBAB, HAMBURGHER, PATATINE, BEVANDE";"3300";VIA TORRE VANGA;"18";ROSTICCERIA;10;LA BOTTEGA DEL KEBAB S.A.S. DI AZIZI BEHAR & C.;"30677";"ROSTICCERIA - VIA TORRE VANGA, 18"
"POINT (664297.327276207 5103745.05362733)";ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.;NON ALIMENTARE;;"2620";VIA DELLA ROGGIA GRANDE;"3";ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.;104;TRENTINI SAMUEL;"45547";"ART. DI ABBIGLIAMENTO-BIANCHERIA PERS. - VIA DELLA ROGGIA GRANDE, 3"
"POINT (664248.669825726 5104001.97226814)";CAFFE' TORREFATTO;ALIMENTARE E NON ALIMENTARE;MACCHINE DA CAFFE' - ACCESSORI;"1700";VIA G. MANCI;"62";CAFFE' TORREFATTO;43;NESPRESSO ITALIANA SPA;"30481";"CAFFE' TORREFATTO - VIA G. MANCI, 62"
"POINT (664084.576968241 5103418.51129382)";ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.;NON ALIMENTARE;;"3340";VIA DEL TRAVAI;"38";ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.;25;SORELLE ANDREOLI DI ANDREOLI DOMENICA E FRANCESCA SNC;"40381";"ART. DI ABBIGLIAMENTO-BIANCHERIA PERS. - VIA DEL TRAVAI, 38"
"POINT (664380.619795672 5103047.15083167)";ARTICOLI MEDICALI E ORTOPEDICI;NON ALIMENTARE;;"1630";VIA B. MALFATTI;"9";ARTICOLI MEDICALI E ORTOPEDICI;54;NICOLODI VILMA & C. SNC;"30825";"ARTICOLI MEDICALI E ORTOPEDICI - VIA B. MALFATTI, 9"
"POINT (663540.684220279 5104369.75408525)";COSMETICI-ART.PROFUMERIA-BIGIOTTERIA;NON ALIMENTARE;;"1010";VIA DOS TRENTO;"73";COSMETICI-ART.PROFUMERIA-BIGIOTTERIA;22;LEONARDI ANTONELLA;"25740";"COSMETICI-ART.PROFUMERIA-BIGIOTTERIA - VIA DOS TRENTO, 73"
"POINT (664047.322154528 5103805.21298538)";PANE E LATTE;ALIMENTARE;;"240";VIA R. BELENZANI;"60";PANE E LATTE;40;ARGJEND BERISHA SAS DI ARGIEND BERISHA;"46577";"PANE E LATTE - VIA R. BELENZANI, 60"
"POINT (663298.920081563 5104044.44496336)";PANE E LATTE;ALIMENTARE;"PIZZE, DOLCIUMI, LATTE, BIBITE, ECC.";"430";VIA BRESCIA;"25";PANE E LATTE;54;PANIFICIO TRENTINO S.R.L.;"39219";"PANE E LATTE - VIA BRESCIA, 25"
"POINT (664348.327803253 5104035.52060576)";ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.;NON ALIMENTARE;"E BIGIOTTERIA, ARTICOLI DA REGALO, ECC.";"2800";VIA SAN MARCO;"32";ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.;38;LEO EMANUELA;"43839";"ART. DI ABBIGLIAMENTO-BIANCHERIA PERS. - VIA SAN MARCO, 32"
"POINT (664138.801114051 5103719.24280789)";ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.;NON ALIMENTARE;"CRAVATTE, GUANTI, SCIARPE ECC.";"980";VIA C. DORDI;3/A;ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.;15;MARCHESE ROBERTO;"24879";"ART. DI ABBIGLIAMENTO-BIANCHERIA PERS. - VIA C. DORDI, 3/A"
"POINT (664147.442167327 5103943.54644276)";ART.PER RIVENDITE DI GENERI DI MONOPOLIO;;;"2180";VIA P. OSS MAZZURANA;"23";ART.PER RIVENDITE DI GENERI DI MONOPOLIO;31;CAGOL MARIO;"12816";"ART.PER RIVENDITE DI GENERI DI MONOPOLIO - VIA P. OSS MAZZURANA, 23"
"POINT (664147.442167327 5103943.54644276)";GIORNALI-RIVISTE E PERIODICI;;;"2180";VIA P. OSS MAZZURANA;"23";GIORNALI-RIVISTE E PERIODICI;31;CAGOL MARIO;"8991";"GIORNALI-RIVISTE E PERIODICI - VIA P. OSS MAZZURANA, 23"
"POINT (664203.676241402 5104548.83291618)";AUTOVEICOLI-MOTOCICLI E LORO ACCESSORI;NON ALIMENTARE;;"3370";VIA C. VANNETTI;"3";AUTOVEICOLI-MOTOCICLI E LORO ACCESSORI;110;SPAGGIARI PNEUS DI SPAGGIARI GALILEO E C. S.N.C.;"20078";"AUTOVEICOLI-MOTOCICLI E LORO ACCESSORI - VIA C. VANNETTI, 3"
"POINT (664044.316850274 5103843.9611145)";LIBRI NUOVI;NON ALIMENTARE;"GADGET, CARTOLERIA, OGGETTI CERAMICA";"240";VIA R. BELENZANI;"44";LIBRI NUOVI;55;MICHELON ORNELLA;"25137";"LIBRI NUOVI - VIA R. BELENZANI, 44"
"POINT (664356.3722791 5103051.2633505)";ARTICOLI MEDICALI E ORTOPEDICI;NON ALIMENTARE;PROTESI AURICOLARI E APPARECCHI ACUSTICI;"3350";CORSO 3 NOVEMBRE;"41";ARTICOLI MEDICALI E ORTOPEDICI;30;ZELGER S.R.L.;"35874";"ARTICOLI MEDICALI E ORTOPEDICI - CORSO 3 NOVEMBRE, 41"
"POINT (664354.984881625 5104464.32646727)";ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.;NON ALIMENTARE;"T-SHIRT ACCESSORI ABBIGLIAMENTO, BORSE, BIGIOTTERIA";"2820";VIA SAN MARTINO;"7";ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.;7;PINOTTI ANNA;"43935";"ART. DI ABBIGLIAMENTO-BIANCHERIA PERS. - VIA SAN MARTINO, 7"
"POINT (664277.464961402 5103833.47617198)";ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.;NON ALIMENTARE;;"610";LARGO G. CARDUCCI;"10";ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.;27;LANIFICIO MARCHESIN S.R.L.;"47515";"ART. DI ABBIGLIAMENTO-BIANCHERIA PERS. - LARGO G. CARDUCCI, 10"
"POINT (664091.649070659 5103890.89973342)";ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.;NON ALIMENTARE;"CALZATURE, ACCESSORI";"2130";VIA DELLE ORNE;"10";ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.;102;SHAHARAZADE IN DI CARPENTARI ORNELLA & C. S.A.S.;"12891";"ART. DI ABBIGLIAMENTO-BIANCHERIA PERS. - VIA DELLE ORNE, 10"
"POINT (663994.098111207 5104368.30230573)";;NON ALIMENTARE;;"970";VIA DOGANA;"1";;0;MAXET S.R.L.;"36565";
"POINT (664294.948966969 5104053.83461161)";CARTOLERIA-CANCELLERIA E FORN. PER UFF.;NON ALIMENTARE;"ARTICOLI REGALO, ECC.";"3210";VIA DEL SUFFRAGIO;"120";CARTOLERIA-CANCELLERIA E FORN. PER UFF.;30;VALENTINI MANUELA;"25743";"CARTOLERIA-CANCELLERIA E FORN. PER UFF. - VIA DEL SUFFRAGIO, 120"
"POINT (664179.262156506 5103433.19115431)";ALTRI ES.NON SPEC.GRANDE VARIETA' NO AL.;ALIMENTARE E NON ALIMENTARE;"SOUVENIR, IDEE REGALO, OGGETTISTICA";"3340";VIA DEL TRAVAI;"126";ALTRI ES.NON SPEC.GRANDE VARIETA' NO AL.;19;AL REGALIN S.A.S. DI DI LUCIA ALICE E LORANDI LORENZO;"28448";"ALTRI ES.NON SPEC.GRANDE VARIETA' NO AL. - VIA DEL TRAVAI, 126"
"POINT (664179.262156506 5103433.19115431)";ES.SPEC.IN ALTRI PROD.ALIM. E BEVANDE;ALIMENTARE E NON ALIMENTARE;MARMELLATE;"3340";VIA DEL TRAVAI;"126";ES.SPEC.IN ALTRI PROD.ALIM. E BEVANDE;19;AL REGALIN S.A.S. DI DI LUCIA ALICE E LORANDI LORENZO;"28448";"ES.SPEC.IN ALTRI PROD.ALIM. E BEVANDE - VIA DEL TRAVAI, 126"
"POINT (664324.567292442 5102995.95658318)";COSMETICI-ART.PROFUMERIA-BIGIOTTERIA;NON ALIMENTARE;;"2330";VIA F.LLI PERINI;"60";COSMETICI-ART.PROFUMERIA-BIGIOTTERIA;42;XIA QI;"33575";"COSMETICI-ART.PROFUMERIA-BIGIOTTERIA - VIA F.LLI PERINI, 60"
"POINT (664845.128925437 5103410.17956513)";SUPERMERCATI(OLTRE 400 MQ.-SELF SERVICE);ALIMENTARE E NON ALIMENTARE;;"1340";VIA B. GIOVANELLI;"31";SUPERMERCATI(OLTRE 400 MQ.-SELF SERVICE);416;SUPERMERCATI POLI S.P.A.;"22408";"SUPERMERCATI(OLTRE 400 MQ.-SELF SERVICE) - VIA B. GIOVANELLI, 31"
"POINT (664147.24503487 5103964.06547157)";COSMETICI-ART.PROFUMERIA-BIGIOTTERIA;ALIMENTARE E NON ALIMENTARE;;"2180";VIA P. OSS MAZZURANA;"11";COSMETICI-ART.PROFUMERIA-BIGIOTTERIA;37;BOTTEGA VERDE SRL;"43562";"COSMETICI-ART.PROFUMERIA-BIGIOTTERIA - VIA P. OSS MAZZURANA, 11"
"POINT (664147.24503487 5103964.06547157)";ES.SPEC.IN ALTRI PROD.ALIM. E BEVANDE;ALIMENTARE E NON ALIMENTARE;INTEGRATORI ALIMENTARI GIA' CONFEZIONATI;"2180";VIA P. OSS MAZZURANA;"11";ES.SPEC.IN ALTRI PROD.ALIM. E BEVANDE;37;BOTTEGA VERDE SRL;"43562";"ES.SPEC.IN ALTRI PROD.ALIM. E BEVANDE - VIA P. OSS MAZZURANA, 11"
"POINT (664847.617861059 5103603.12952918)";;NON ALIMENTARE;;"1400";VIA DON GIUSEPPE GRAZIOLI;"67";;0;ITALIANSKIJ SLEDOPYT S.R.L.;"24578";
"POINT (664005.02722215 5103801.0518167)";"BEVANDE (VINI, OLI, BIRRA ED ALTRE)";ALIMENTARE;"KEBAB, PANINI, GASTRONOMIA, ROSTICCERIA, PIZZA AL TAGLIO";"680";VIA CAMILLO BENSO CAVOUR;"31";"BEVANDE (VINI, OLI, BIRRA ED ALTRE)";26;OSMANLI S.N.C. DI BICERIM RESUL & BAYSAL INANC;"25495";"BEVANDE (VINI, OLI, BIRRA ED ALTRE) - VIA CAMILLO BENSO CAVOUR, 31"
"POINT (664131.801181679 5103650.72168675)";ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.;NON ALIMENTARE;"CALZATURE, ACCESSORI, ARTICOLI SPORTIVI";"2920";VIA SAN VIGILIO;"2";ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.;87;SHERPA 3 S.R.L.;"29008";"ART. DI ABBIGLIAMENTO-BIANCHERIA PERS. - VIA SAN VIGILIO, 2"
"POINT (664245.183384849 5104228.58768334)";MOBILI;NON ALIMENTARE;DIVANI E ARREDAMENTO IN GENERE;"2320";PIAZZA S. PELLICO;"8";MOBILI;319;F.A.L.C. S.R.L.;"42143";"MOBILI - PIAZZA S. PELLICO, 8"
"POINT (664988.197906889 5102755.9250522)";ALTRI PRODOTTI NON CLASS.(MINERALI DA CO;NON ALIMENTARE;"PARRUCCHE, ACCESSORI, ABBIGLIAMENTO";"1300";VIA G. GEROLA;"19";ALTRI PRODOTTI NON CLASS.(MINERALI DA CO;29;THE SERENDIPITY DI PISONI GIOVANNA & PINTOR PAOLO S.N.C.;"40194";"ALTRI PRODOTTI NON CLASS.(MINERALI DA CO - VIA G. GEROLA, 19"
"POINT (664416.22631083 5102973.41953999)";;ALIMENTARE E NON ALIMENTARE;;"3350";CORSO 3 NOVEMBRE;"57";;1509;"HABITAT S.P.A. - GESTORE CENTRO COMMERCIALE ""CENTRUM""";"44974";
"POINT (664416.22631083 5102973.41953999)";VARIE;NON ALIMENTARE;PRODOTTI NON ALIMENTARI RICONDUCIBILI ALL'INIZIATIVA SUSHIKO;"3350";CORSO 3 NOVEMBRE;"57";VARIE;50;TRENTO SK SRL;"47088";"VARIE - CORSO 3 NOVEMBRE, 57"
"POINT (664416.22631083 5102973.41953999)";ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.;NON ALIMENTARE;"+ TESSILI + ACCESSORI PER LA CASA, ECC.";"3350";CORSO 3 NOVEMBRE;"57";ART. DI ABBIGLIAMENTO-BIANCHERIA PERS.;502;KIK TESSILI E NON-FOOD SRL;"45411";"ART. DI ABBIGLIAMENTO-BIANCHERIA PERS. - CORSO 3 NOVEMBRE, 57"
"POINT (664416.22631083 5102973.41953999)";GIORNALI-RIVISTE E PERIODICI;NON ALIMENTARE;;"3350";CORSO 3 NOVEMBRE;"57";GIORNALI-RIVISTE E PERIODICI;4;ALDI S.R.L.;"44990";"GIORNALI-RIVISTE E PERIODICI - CORSO 3 NOVEMBRE, 57"
"POINT (664416.22631083 5102973.41953999)";SUPERMERCATI(OLTRE 400 MQ.-SELF SERVICE);ALIMENTARE E NON ALIMENTARE;;"3350";CORSO 3 NOVEMBRE;"57";SUPERMERCATI(OLTRE 400 MQ.-SELF SERVICE);957;ALDI S.R.L.;"44986";"SUPERMERCATI(OLTRE 400 MQ.-SELF SERVICE) - CORSO 3 NOVEMBRE, 57"
"POINT (663746.366976568 5104530.22122576)";COSMETICI-ART.PROFUMERIA-BIGIOTTERIA;NON ALIMENTARE;"ARTICOLI PROFUMERIA, PRODOTTI PER TOLETTA E IGIENE PERSONALE";"1020";VIA DOSSO DOSSI;7/A;COSMETICI-ART.PROFUMERIA-BIGIOTTERIA;20;DUESA PHARM GROUP SRLS;"42771";"COSMETICI-ART.PROFUMERIA-BIGIOTTERIA - VIA DOSSO DOSSI, 7/A"
"POINT (663746.366976568 5104530.22122576)";;NON ALIMENTARE;;"1020";VIA DOSSO DOSSI;7/A;;20;DUESA PHARM GROUP SRLS;"42772";
"POINT (664794.682360539 5103347.6903854)";ART.SPORTIVI-BICICLETTE-ARMI-MUNIZIONI-A;NON ALIMENTARE;;"2730";VIA SAN BERNARDINO;"28";ART.SPORTIVI-BICICLETTE-ARMI-MUNIZIONI-A;45;ACQUAMARKET 2020 S.R.L. DI POLA P. E C.;"15723";"ART.SPORTIVI-BICICLETTE-ARMI-MUNIZIONI-A - VIA SAN BERNARDINO, 28"
"POINT (663930.985279352 5103497.50015315)";COSMETICI-ART.PROFUMERIA-BIGIOTTERIA;NON ALIMENTARE;;"390";VIA G. BORSIERI;"1";COSMETICI-ART.PROFUMERIA-BIGIOTTERIA;47;PIACINI IVONNE;"25430";"COSMETICI-ART.PROFUMERIA-BIGIOTTERIA - VIA G. BORSIERI, 1"
